Nom du Physique,Codesite,Owner,Topolopgy,Region,Ville,Date,VENDOR,9/3/2026 0:00,10/3/2026 0:00,11/3/2026 0:00,12/3/2026 0:00,13/3/2026,14/3/2026,15/3/2026,Verification,RCA,ACTION PLAN,ETR,OWNER,STATUS
Oyomabang-II,CTR_865,CAMUSAT,Good Grid + GE,CENTRE,Yaounde,16032026,ZTE,0,1.401346521960556,29.68278951466086,9.434251502964955,9.434251502964955,20.546862652125814,20.64974331056203,"up apres remplacement de la fibre ..15/03/2026 : probleme d'access
14/03/2026 : FME sur site || need BO RAN  analysis || Check SFP, FIBER  and OF5  on RRU 73 needed || Problème accès camusat le vigile dit qu'il attend le GO de son patron de l Allemagne..15/03/2026 : probleme d'access || Intervention en cours || up apres remplacement de la fibre  
14/03/2026 : FME sur site || need BO RAN  analysis || Check SFP, FIBER  and OF5  on RRU 73 needed || Problème accès camusat le vigile dit qu'il attend le GO de son patron de l Allemagne",FO issue,Up after replace Fiber,,CELLDOWN,Obs
Koweit-City,CTR_258,CAMUSAT,Good Grid + GE,CENTRE,Yaounde,16032026,ZTE,1.6608713977135032,1.4645493446663038,3.796267027261179,9.082455994,9.082455994,7.345247294077705,11.910649684772494,"16.03.26; Need FME on site to check MPR status, ETA=11H UTC..Power status check ongoing",MPR issue,FME to check MPR status on site,,GNOC,Ongoing
Buea-Bomaka-III-MTN,SUO_169,MTN sharing,,SUD-OUEST,Buea,16032026,HUAWEI,5.854172886336629,0,2.4819410053328195,8.844407272769844,8.844407272769844,20.718086507560184,20.577778070468128,Grid outage,Grid outage,Awaiting Grid return,,MTN ,Ongoing
Yona-Hotel-MTN-IHS,CTR_466,IHS,Grid-Gen,CENTRE,Yaounde,16032026,ZTE,0,0,0,8.652676799606622,8.652676799606622,23.855544140631864,23.82768367782988,0..14/03/2026 : FME sur site || need BO TX analysis || Le MPR de  *CTR_466_Z_Yona-Hotel-MTN-IHS* est en perte de supervision. Il faut un FME sur site pour troubleshooting...14/03/2026 : FME sur site || need BO TX analysis || Le MPR de  *CTR_466_Z_Yona-Hotel-MTN-IHS* est en perte de supervision. Il faut un FME sur site pour troubleshooting.,Awaiting BO TX analysis,Need BO TX awaiting,,BO TX,Ongoing
Ngousso-Maetur,CTR_567,CAMUSAT,Good Grid no GE - 8h,CENTRE,Yaounde,16032026,ZTE,1.6136201991465142,0,13.795923116098551,8.586565366536128,8.586565366536128,3.8923060487387966,15.869817185606658,0..15/03/2026 : site down ..15/03/2026 : site down ..INC-20260314-00012993..2026-03-14 23:28:14..Grid outage. Grid only site / Grid return awaited..Others..user:OCM_NOC.CAMUSAT,"Grid outage, no space to deploy MDG",Awaiting Grid return,,CAMUSAT,Ongoing
BTS-Mobile-Tagidor-Hotel,OST_306,CAMUSAT,Medium Grid + GE,OUEST,Bafoussam,16032026,NOKIA,3.3153219008482164,8.281124691943406,6.739177042539615,8.570760087572953,8.570760087572953,3.9397035924813713,27.118297728677852,"15/03/2026 FME active EAT asap 
besoin d'un fme a bana pour verifier le status de l ODU 3/1 ..INC-20260314-00012752..ODU instable à bana ..Others",ODU Faulty,FME on sitre to replace ODU fault,,GNOC,Ongoing
Nsimalen-highway-II,CTR_725,,,CENTRE,Yaounde,16032026,ZTE,19.45798137318605,10.90761814446025,23.425746653085834,8.071594986799665,8.071594986799665,13.090722301248617,13.771739575833143,15/03/2026 power issue MTN activé..15/03/2026 power issue MTN activé,Power Issue,Solve Power Issue on site,,MTN,Ongoing
Balissa-MTN-IHS,CTR_170,IHS,Solar-Gen,CENTRE,Balissa,16032026,NOKIA,4.7452428053684494,4.579629233,0.1538713874355472,7.911989010839881,7.911989010839881,7.909427096695123,7.902017514590614,"14/03/2026 FME en route ETA=10H UTC  //  FME sur site ODU 3DB20859ACAA07 fautlty commande pas disponible au WH point transmisa ocm en attente de retour
13.03.26; FME en route pour le site, ETA=17H UTC (escalade faite au FM manager)
12.03.26; Level 0 sur site et investigations en cours
12.03.26; Level 0 en route pour le site, ETA=16H30 UTC
12.02.26; Besoin d'un FME sur site pour vérifier le statut du MPR; FME manage avec le niveau 0..14/03/2026 FME en route ETA=10H UTC  //  FME sur site ODU 3DB20859ACAA07 fautlty commande pas disponible au WH point transmisa ocm en attente de retour
13.03.26; FME en route pour le site, ETA=17H UTC (escalade faite au FM manager)
12.03.26; Level 0 sur site et investigations en cours
12.03.26; Level 0 en route pour le site, ETA=16H30 UTC
12.02.26; Besoin d'un FME sur site pour vérifier le statut du MPR; FME manage avec le niveau 0",ODU 3DB20859ACAA07 unavailable,Awaiting OCM return,,GNOC,Ongoing
Doualare-II,EXN_197,CAMUSAT,Medium Grid + GE,EXTREME-NORD,Maroua,16032026,HUAWEI,0,0,0,7.489122894824648,7.489122894824648,33.19026263,26.815192385367823,"15/03/2026 escalade L4 camusat 
14/032026 Camusat: FME is on the way ETA 03:30 escalde L3 camusat 
14/03/2026 FME en route ETA=11H20 UTC  // Power issue sur site camusat activé 
13.03.26;Besoin d'un FME sur site pour reset physique du MPR; CM-20260313-00004122; FME Eric activé pour investigations, update ASAP..15/03/2026 escalade L4 camusat 
14/032026 Camusat: FME is on the way ETA 03:30 escalde L3 camusat 
14/03/2026 FME en route ETA=11H20 UTC  // Power issue sur site camusat activé 
13.03.26;Besoin d'un FME sur site pour reset physique du MPR; CM-20260313-00004122; FME Eric activé pour investigations, update ASAP",Power issue on site,Solve Power Issue on site,,CAMUSAT,Ongoing
Buea-Prime22,SUO_241,CAMUSAT,Medium Grid + GE,SUD-OUEST,Buea,16032026,HUAWEI,0.7609949130416966,1.4177920610669148,2.797040461514146,7.135498071170585,7.135498071170585,18.47615159018668,12.503420818479295,0,Need BO TX analysis,Awaiting BO TX analysis,,BO TX,Ongoing
